city,state_id,state_name,lat,lng,population,id
Paxtonville,PA,Pennsylvania,40.7702,-77.0807,268,1840005361
Farmersburg,IA,Iowa,42.9589,-91.367,268,1840008011
Bradshaw,NE,Nebraska,40.8835,-97.747,268,1840011820
Iliff,CO,Colorado,40.7592,-103.0661,268,1840021380
Hazleton,IN,Indiana,38.4893,-87.5406,268,1840010799
Interlochen,MI,Michigan,44.6497,-85.7678,268,1840025204
Michigan City,ND,North Dakota,48.0248,-98.1197,268,1840059042
Fowlerton,TX,Texas,28.4608,-98.8114,268,1840018285
Westfir,OR,Oregon,43.7579,-122.5095,267,1840021265
Bush,IL,Illinois,37.8427,-89.1295,267,1840010852
Garden City,CO,Colorado,40.3948,-104.6893,267,1840021365
Jemez Springs,NM,New Mexico,35.7732,-106.6909,267,1840022683
Oakhurst,TX,Texas,30.7433,-95.3073,267,1840025996
Lewistown,OH,Ohio,40.4237,-83.8846,267,1840026495
Newcastle,UT,Utah,37.6629,-113.5643,267,1840026788
Anderson,AL,Alabama,34.9147,-87.2716,267,1840015513
Augusta,MO,Missouri,38.5695,-90.8812,267,1840010719
Palco,KS,Kansas,39.2532,-99.5634,267,1840009575
Roseland,NE,Nebraska,40.4698,-98.5587,267,1840012041
Smartsville,CA,California,39.2053,-121.2928,267,1840026640
Kelliher,MN,Minnesota,47.9438,-94.4446,267,1840007699
Theodosia,MO,Missouri,36.5807,-92.6638,267,1840013061
Sumner,MS,Mississippi,33.9693,-90.3693,267,1840016740
Bellmont,IL,Illinois,38.383,-87.9107,267,1840012891
Milton,IL,Illinois,39.5646,-90.6498,266,1840012535
Hallam,NE,Nebraska,40.5365,-96.7867,266,1840011845
Island Park,ID,Idaho,44.5281,-111.3592,266,1840018608
Milligan,NE,Nebraska,40.5001,-97.3883,266,1840012051
Parker,KS,Kansas,38.3285,-94.9899,266,1840009747
Sobieski,WI,Wisconsin,44.7227,-88.0659,266,1840025314
Sawyerville,IL,Illinois,39.0785,-89.802,266,1840012660
Mentasta Lake,AK,Alaska,62.9867,-143.5191,266,1840023391
Wingate,IN,Indiana,40.1723,-87.0726,266,1840010504
Jennings,MI,Michigan,44.3325,-85.2969,266,1840023970
Kiron,IA,Iowa,42.194,-95.3271,266,1840008118
Tajique,NM,New Mexico,34.76,-106.301,266,1840019190
Lewistown Heights,MT,Montana,47.0784,-109.4736,266,1840032835
Auburntown,TN,Tennessee,35.951,-86.097,266,1840015371
